block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
StaticAbstractPath,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
StaticAbstractPath,id,Attribute,Attribute,str,-,-,,optional,Id of the block
StaticAbstractPath,PathDim,Dimension,Dimension,int,-,-,,required,Number of paths
StaticAbstractPath,TotalLength,Dimension,Dimension,int,-,-,,required,Total number of nodes across all paths
StaticAbstractPath,PathStart,Variable,Variable,int,-|PathDim,-,,required,Start index of each path
StaticAbstractPath,PathNodeTypes,Variable,Variable,str,-|TotalLength,-,,required,Type of each node
StaticAbstractPath,PathGroupIndices,Variable,Variable,int,-|TotalLength,-,,required,Group index per node
StaticAbstractPath,PathElementIndices,Variable,Variable,int,-|TotalLength,-,,required,Element index per node
StaticAbstractPath,PathRangeIndices,Variable,Variable,int,-|TotalLength,-,,required,Scenario range index per node
