component,nctype,list_name,description,type
Attribute,Attribute,attributes,"Attributes of the netCDF group"
Dimension,Dimension,dimensions,"Dimensions of the netCDF group"
Variable,Variable,variables,"Variables of the netCDF group"
Group,Group,groups,"Groups of the netCDF group"
Block,Group,groups,"SMS++ block"
UCBlock,Group,groups,"Unit commitment block"
ThermalUnitBlock,Group,groups,"Thermal unit block"
